"metreCarre","nombreDeChambres","possedeCour","possedePiscine","richesseQuartier","nombrePrecedentProprio","annee","estNouveau","possedeProtectionTempête","sousSol","grenier","garage","possedeStockage","prix"
59741,83,0,1,10,9,429,0,1,1421,697,879,1,7059493.9
69969,16,0,0,5,9,404,1,0,9250,8779,152,0,9338401.4
49683,18,1,1,2,6,407,1,0,5716,7143,801,1,2606754.7
100010,24,0,0,5,5,411,0,1,5801,5536,777,0,9357480.1
29159,60,1,0,6,5,421,1,1,3599,6354,795,0,5874828.1
-4864,90,0,1,3,9,429,1,1,2957,9486,520,0,2112717.9
-21,43,1,1,1,1,409,1,0,185,7129,754,1,1124971.9
578,59,1,1,8,8,421,0,0,4253,5143,658,1,2845490.1
53260,32,0,0,9,5,411,0,0,8748,1777,354,1,6467876.1
29972,27,1,1,4,1,419,0,0,7864,6314,706,0,5679272.9
53993,65,0,1,4,4,427,0,1,5698,1807,233,1,8118370.7
28223,28,0,0,2,9,420,1,1,9613,2783,902,0,4364041
90250,9,1,1,7,6,427,0,1,5471,1562,144,1,8169478.7
65491,90,0,1,10,1,406,0,1,5811,5719,217,0,6465423.6
115441,12,1,0,3,9,423,0,1,6233,9847,827,1,9124383.3
51743,58,0,1,2,4,412,0,0,5295,5189,707,1,2608276.2
56375,87,1,1,1,2,426,1,0,1800,4755,723,1,4914589.6
44768,94,0,1,1,5,428,0,0,1093,3102,789,1,5720511.8
63968,98,0,0,1,6,414,0,0,1928,4232,220,0,8649993.4
37507,3,1,0,1,8,418,1,1,7953,6289,337,1,1016018.8
28865,34,1,0,9,1,429,1,1,5811,7670,397,0,1709341.9
91287,46,1,1,2,2,406,0,0,6041,760,471,0,7230004.6
16602,94,0,1,3,10,414,0,1,5560,2896,497,0,4531305.4
102551,26,0,0,1,1,416,0,0,6496,2502,628,0,8701153.6
8463,36,0,1,9,8,421,1,0,8940,5983,754,1,3024957.1
39329,82,1,0,10,8,412,0,1,2301,7443,962,1,6063866.2
60629,42,0,1,5,6,415,1,0,68,4701,695,0,6077844.5
36729,49,0,1,4,7,416,0,0,8654,9588,290,1,5384554.6
868,48,1,1,5,5,407,0,1,8154,3233,699,0,1854892.7
56669,68,1,0,3,5,429,0,0,6477,8036,497,1,6339390.9
112644,47,1,1,10,10,419,1,1,1911,6330,146,0,9750051.9
23360,34,1,0,7,2,430,1,0,4263,9085,951,0,1587804
5179,74,0,0,8,2,404,0,0,8337,6615,944,1,168399.4
95990,60,0,1,2,10,409,1,1,5336,7793,422,1,9873946.9
42067,13,1,0,10,5,412,1,0,3445,10,381,0,2244101.2
-9222,92,1,1,8,8,408,0,1,9107,5150,750,0,256655.8
52138,67,0,0,4,6,430,0,1,5838,467,398,1,4223638
76135,51,0,0,8,5,406,0,0,8045,3226,801,0,7863369.6
20087,82,1,0,6,1,416,0,1,4606,4712,475,0,4699973.6
120818,87,1,0,4,1,416,1,0,531,6556,776,1,9324362.6
-1601,21,0,1,6,5,418,0,0,8604,482,348,0,104702.8
96112,17,1,0,4,10,403,0,1,5925,1493,536,1,8154333.3
27649,17,1,1,9,4,419,1,0,7008,4765,969,0,4202078.9
17453,24,0,1,10,5,403,0,0,2324,4385,932,1,2191960.3
120942,92,0,0,10,7,418,0,1,15,5550,637,0,9499780.8
77999,20,1,1,10,6,423,0,1,181,5549,223,0,9914114.3
75343,34,0,0,7,10,402,0,1,238,15,853,1,6679374.2
8823,61,1,0,10,7,409,1,0,9281,1993,932,1,491173.9
6283,98,1,1,8,9,422,0,1,8073,6431,310,1,598716.2
98254,55,0,1,9,5,406,1,1,1357,9576,908,0,7714958.6
61400,52,0,0,5,7,403,0,1,9562,3717,793,1,4784201.3
-9131,39,0,1,10,1,415,0,1,4394,5959,390,1,134386.5
110682,28,1,1,8,9,415,0,1,5664,3283,653,1,8610597.5
120488,99,1,0,4,10,410,0,1,9084,340,898,0,9372029
45888,26,1,1,8,3,421,0,1,5502,3861,965,0,5805607.1
19550,58,1,1,6,8,410,0,1,4994,8783,846,0,2938369
25480,82,0,0,4,1,421,1,0,637,8932,878,1,743576.1
57780,34,1,0,2,3,408,1,0,4340,2690,738,1,4350497.8
48550,2,0,0,4,1,409,0,1,3758,6701,459,1,6275591.9
89103,75,1,0,8,6,425,0,0,9489,9895,427,1,6520948.5
57184,55,1,1,8,10,415,0,1,7968,849,836,0,8500395.5
42577,82,0,0,5,6,426,0,1,9009,4010,801,0,1702646.6
66145,35,1,1,10,6,427,1,0,3550,6304,794,1,5777415.7
20963,11,1,0,3,7,406,1,0,2863,3373,465,0,5075617.6
89318,2,1,0,7,8,426,0,0,9626,6679,953,0,7496206.6
100953,84,0,1,2,3,431,1,1,4686,4319,786,0,8625334.1
17013,31,1,1,10,7,428,1,0,9996,1246,965,0,440601.8
-3872,24,0,1,2,1,408,0,0,6135,630,462,0,2271081.8
19648,1,0,1,8,3,424,0,0,6852,4574,723,0,438335.4
82979,21,0,1,7,5,400,0,1,4465,6612,469,0,6326321
54329,27,0,0,1,8,421,0,1,4353,3714,388,0,6767151.1
59194,55,1,0,9,9,430,0,0,6540,6218,628,0,7362718
84847,39,0,0,9,1,408,1,1,2353,9147,355,0,6121085.8
106131,95,0,1,2,4,422,0,1,5927,8522,256,0,9725732.2
63359,24,0,0,3,6,414,0,0,5586,1906,106,1,6351101.4
3582,45,1,1,9,5,421,1,0,5980,7316,502,1,2508814.1
82744,16,1,0,10,10,418,1,1,4567,4444,708,1,8716894.8
20660,6,0,1,9,10,430,0,1,3258,8577,514,1,3118168
74210,3,1,0,9,4,417,1,0,7887,5075,480,0,6698622.7
41756,22,0,1,9,9,415,1,0,8860,3446,128,1,7064452.5
96602,75,1,1,5,9,431,1,0,3925,8169,417,1,7371844.1
-4745,9,1,1,2,9,424,0,0,7170,1020,397,1,887645.4
61412,57,1,1,1,10,425,0,1,8059,8416,628,1,7322035.5
25622,16,1,1,5,8,410,1,0,1897,1671,719,0,1980264
74283,68,0,1,7,6,431,0,0,7719,4694,372,1,5564877.1
24475,88,1,1,5,7,428,0,0,4027,3050,814,0,3603983.8
-4706,30,0,1,5,4,413,0,0,4511,5874,838,0,381105.3
39808,82,1,1,9,7,411,1,0,2157,7829,950,0,2101237.1
17417,64,1,0,8,9,427,0,0,7865,155,558,0,3770389.7
3352,58,1,0,7,9,422,1,0,6772,2305,250,0,1797252.2
47694,72,0,1,9,6,411,1,0,3187,5589,399,0,5755191.1
-3248,50,1,1,2,9,408,1,1,3451,4990,497,1,2131594.8
60058,100,1,1,7,9,422,1,1,5943,7937,950,1,6047863.2
56105,36,1,0,2,9,402,1,0,4892,4414,109,1,7806848.2
33906,37,1,0,5,6,403,0,0,2865,4679,527,0,2107213.3
68090,72,1,0,4,6,430,1,0,1109,3222,539,0,8227135
29896,67,0,0,7,7,420,0,0,1589,6243,788,0,2134558
106087,56,0,1,4,3,417,1,0,8871,8328,765,1,7918754.7
98839,69,1,1,8,9,431,0,1,5644,4140,982,1,7245147.1
28055,21,0,0,1,7,415,0,1,8135,5914,470,0,4945454.5
48163,67,0,1,9,10,430,1,0,4774,4703,731,1,4913241
10735,20,0,1,6,5,428,1,1,8712,9983,197,0,3840886.8
74535,31,0,0,1,5,421,1,0,2756,6775,200,0,8272783.1
66805,3,1,0,3,9,423,0,1,7308,8481,540,0,5289891.3
38145,79,0,0,1,3,423,1,1,5335,8943,362,1,4602587.3
70849,45,0,0,8,2,425,0,1,8934,5916,703,1,5486701.5
4594,75,0,0,6,6,421,0,0,2379,5421,759,1,2093781.1
126618,14,0,1,8,5,422,0,0,7987,8943,731,1,9805123.2
63255,42,0,1,6,5,416,1,1,6191,4612,375,0,5908459.6
80744,38,1,0,5,4,422,1,0,7305,4450,869,1,9378462.2
99957,92,0,0,3,10,431,0,1,9631,6981,560,1,8630082.1
70953,21,0,1,1,4,420,1,0,739,9878,919,1,9019821
110078,55,0,0,10,1,406,0,1,6001,9562,876,1,8423659.6
38962,64,1,0,8,7,424,1,1,5205,4975,431,0,1606879.4
37539,94,1,0,2,7,403,1,1,7242,4824,987,0,4624268.3
103470,23,1,1,10,2,415,0,1,9686,559,657,1,8592258.5
84523,39,0,0,8,10,407,1,0,3735,3329,127,1,8609947.7
14043,36,0,0,1,4,419,1,1,7193,9095,617,1,875876.9
74345,53,1,0,2,2,413,1,1,587,7987,608,1,6313110.3
73311,99,0,0,7,1,405,0,0,9431,262,566,1,7634333.5
32177,71,0,0,3,7,403,0,0,2671,4509,116,0,2844533.3
17470,64,1,1,5,7,420,0,0,1113,6356,987,0,514459
96874,60,1,0,10,3,414,1,1,3034,6752,781,0,9414111.4
38161,70,0,0,1,9,407,0,1,923,9613,188,1,2119485.7
16302,70,0,1,7,9,412,1,1,942,3434,365,1,2905549.2
66792,39,1,0,8,8,412,1,0,4749,5479,769,1,5315445.2
49123,26,0,0,2,4,411,1,1,8801,3190,953,0,2185600.1
338,94,0,0,5,1,416,1,1,6959,4906,235,1,2555050.6
47216,67,1,0,3,10,410,1,0,5131,5318,903,1,3824209
88536,91,1,1,9,3,417,0,1,7307,2637,908,0,7754431.7
43377,37,1,1,4,6,418,0,1,5198,4912,827,1,2243514.8
-4578,29,1,0,2,4,417,1,1,4156,8647,458,1,1690854.7
95651,45,0,0,5,3,428,1,1,6440,1418,114,0,9104801.8
38137,62,1,1,7,2,414,0,0,978,2576,895,0,3390988.4
72838,77,0,1,10,8,401,0,1,6238,6877,764,1,8022700.1
1359,85,1,1,5,1,424,0,0,5010,3406,990,1,2544899.4
10278,44,0,0,3,10,401,1,0,5688,2005,169,0,3379097.1
-15375,93,0,0,5,8,406,1,0,1016,2485,402,1,767255.6
3843,40,0,1,1,10,407,1,0,2915,5191,900,1,1169371.7
72808,12,1,0,3,7,424,1,0,2199,4940,949,1,6716149.4
41003,50,0,1,7,3,431,1,1,233,8648,917,0,1734432.1
106344,30,0,0,3,2,404,1,1,3862,9881,810,1,7902699.4
7685,22,1,1,5,2,407,1,0,2726,3567,858,0,3131372.7
120971,97,0,1,6,6,414,1,0,6386,6535,950,0,9242250.4
-20708,54,1,0,7,10,413,0,0,4243,8094,876,0,322507.3
9511,1,0,0,2,5,405,0,0,9963,9515,277,1,1647095.5
97714,57,1,0,6,6,400,0,1,9114,9464,916,0,7904937
85921,6,0,1,7,1,415,1,0,5218,6251,562,0,7819761.5
38571,25,0,0,7,6,415,0,0,9132,6011,994,1,5057375.5
25156,28,1,0,1,4,425,1,0,9705,5525,728,1,3225722.5
77678,10,1,0,9,5,406,1,0,706,9452,415,1,7242431.6
28039,91,0,0,9,10,407,0,1,511,9346,253,1,3297491.7
61466,70,1,1,2,8,411,0,0,9795,3149,325,1,8456155.1
20004,16,1,1,7,6,430,1,1,8582,1132,969,1,2689533
71048,95,0,1,5,4,418,0,1,8123,5326,590,0,9672165.8
26858,94,1,0,3,5,419,0,1,7735,7315,480,1,3515504.9
79937,27,0,1,9,4,418,0,0,5367,5193,215,1,8171711.8
39630,17,0,0,3,4,430,1,0,9284,860,654,1,1940788
31007,46,1,1,2,1,407,1,0,7229,4684,106,1,1264869.7
81690,58,1,1,5,9,409,1,1,851,9640,273,0,6728090.9
114138,61,1,0,2,4,420,1,0,920,8849,313,0,9916844
48293,62,0,0,10,4,406,1,1,7984,7583,725,1,6079599.6
19796,67,0,0,8,7,407,0,0,705,4914,898,1,2042985.7
32630,78,1,0,3,4,402,1,0,3271,9794,446,0,6079816.2
36338,71,0,0,4,4,406,0,0,3654,98,247,0,5837331.6
-9211,67,1,0,5,8,409,0,1,4649,6155,947,1,1691557.9
99460,30,1,1,10,1,410,1,1,9714,4500,987,1,9560988
72468,27,1,0,7,4,419,0,0,7608,6359,732,1,8240224.9
96871,88,1,1,7,4,403,1,1,8273,7875,877,0,7637924.3
58161,12,0,1,1,9,413,1,1,7937,1759,346,0,3676149.3
18868,77,0,1,9,2,428,1,1,9253,3133,116,0,1076789.8
35974,1,1,0,3,3,406,0,0,4183,6158,655,0,5740389.6
-214,14,0,1,2,10,404,1,0,5587,8854,693,1,2223268.4
15072,86,1,1,1,2,431,0,0,1136,105,145,0,2601765.1
69130,69,1,0,5,7,415,0,1,9079,2713,482,1,8902346.5
106962,4,1,0,10,3,417,1,1,6589,8138,614,0,7883763.7
42774,24,1,1,1,4,403,1,1,928,8369,824,1,3384758.3
18247,53,1,0,1,7,416,1,1,689,2715,620,0,3756011.6
9039,43,0,0,1,5,407,1,1,3826,9886,692,1,2185327.7
56014,9,0,1,2,4,402,1,1,9440,5664,477,1,7704323.2
19394,23,0,1,2,4,418,0,0,4683,7733,111,1,4003367.8
49709,39,1,1,2,5,422,0,1,5067,5434,177,1,7625167.2
21105,30,0,1,10,8,402,1,1,2306,3252,256,1,1228783.2
-12346,43,1,1,9,1,417,0,1,3837,3081,127,1,1448793.7
85135,11,1,0,4,10,415,1,1,3729,1474,707,0,6765906.5
39546,21,1,1,1,7,406,0,1,8068,3082,381,1,4205820.6
-816,8,1,0,6,6,406,1,1,9134,3880,604,0,1349819.6
44125,5,0,1,1,1,409,0,0,2584,5266,787,0,2153602.9
4624,38,0,0,2,10,412,0,0,5607,9065,951,0,2749560.2
3667,71,1,1,3,7,400,1,0,4268,3861,188,0,485143
86489,86,0,1,7,7,413,1,1,1669,7594,335,0,5919483.3
29323,53,1,0,10,4,415,0,0,9090,669,268,1,4280444.5
55738,30,1,1,5,5,402,1,0,9761,6148,525,1,6428666.2
41607,33,0,0,1,6,416,1,0,6993,7510,137,1,6289045.6
59827,91,1,1,2,3,425,0,0,908,9450,104,1,8517678.5
1825,55,0,0,7,8,402,0,0,3223,2186,255,0,1549279.2
46027,49,1,1,5,6,411,1,0,4522,2397,263,1,6518542.1
108100,34,1,0,7,7,400,1,1,5285,5089,751,1,8990716
67934,28,0,0,2,2,411,1,1,3446,9626,664,0,9577750.1
4053,7,0,1,10,4,405,1,1,8566,9937,854,1,1300343.5
75556,25,0,1,5,7,402,1,1,4584,8115,918,1,8999987.2
726,86,1,0,9,4,405,1,1,8212,4181,338,0,1080749.5
27429,69,1,1,5,4,408,0,1,1700,4302,383,1,2673620.8
38397,40,1,0,8,6,430,1,1,8797,5804,496,0,4297263
55542,19,0,0,10,1,423,1,0,852,9604,619,0,4983282.3
53139,6,1,0,3,3,407,1,1,3147,7899,723,1,4311748.7
-5976,81,1,1,6,5,414,1,0,7906,6437,815,0,2136110.4
9435,53,0,0,7,8,401,1,1,6093,4476,618,0,131117.1
102143,41,0,1,7,3,431,1,1,2146,1077,623,1,9892300.1
77143,28,0,1,5,1,419,1,1,8986,3346,120,0,5249658.9
38250,67,0,0,9,5,410,1,0,868,4894,404,0,1191000
50148,57,0,1,6,3,417,1,0,2025,4962,824,1,7935780.7
4141,25,0,0,1,4,431,0,0,237,7760,487,1,593538.1
32678,22,1,1,3,4,428,1,0,5481,406,991,0,2639003.8
12857,9,1,0,3,5,424,0,1,3659,3569,923,0,1829876.4
28327,71,0,1,3,1,412,0,1,7704,7896,468,1,22499.2
95843,16,1,0,10,5,423,1,1,72,6676,708,1,7561347.3
27531,10,1,0,4,2,414,1,1,5716,1066,579,1,1865230.4
20532,62,0,0,1,2,402,1,0,5885,7844,609,0,4426084.2
59051,11,1,0,9,3,402,0,0,1076,1403,257,1,7417297.2
2492,90,1,0,1,8,418,0,1,4534,2836,494,0,930448.8
25471,27,1,0,4,1,427,0,0,1858,6423,207,0,1099743.7
30331,78,0,0,9,8,420,1,0,6992,8442,754,0,3424803
-15348,83,0,1,1,3,416,0,1,5217,1186,682,1,972497.6
82556,10,0,0,9,7,417,0,1,8566,3105,703,0,9651440.7
9105,5,0,0,6,7,426,1,1,7940,5932,679,0,1626865.6
2820,67,1,1,8,5,413,1,0,4687,5948,327,1,2684819.3
41450,71,1,1,2,10,420,1,0,75,1103,755,0,2888357
38282,16,0,0,6,1,428,1,1,5064,6624,494,0,4907507.8
27347,28,0,1,5,8,408,0,0,6398,2111,437,0,3325883.8
77213,30,0,1,1,4,429,0,1,27,3430,293,1,9580216.9
68894,77,1,0,8,6,426,1,1,190,6093,328,1,7567791.6
50718,2,1,0,2,9,415,1,0,5515,1292,873,1,6375077.5
103564,35,0,1,10,8,404,0,0,7094,7305,265,0,9017994.4
67025,9,0,0,9,4,420,0,1,8712,3429,487,1,5215581
65145,94,1,1,9,5,411,0,1,2047,9446,365,1,8034726.1
77477,26,0,0,3,8,400,0,0,5350,3550,305,0,9424799
17664,8,1,1,4,7,423,0,1,9320,2082,543,0,2755288.3
72274,54,0,0,4,8,410,0,0,5173,7652,449,0,5574008
42012,68,0,1,5,8,429,0,0,861,2701,576,1,2457903.9
39389,68,0,0,9,10,426,1,0,2039,9886,408,1,6937939.6
1467,54,1,0,2,5,419,1,0,5879,9334,254,1,201865.9
77315,39,1,1,2,1,428,1,1,1832,1087,452,0,5932371.8
71493,12,1,1,10,2,418,0,0,7229,6392,724,1,4537104.8
74903,26,1,0,1,3,425,0,1,3086,568,514,1,6292755.5
42754,35,1,1,1,6,426,0,1,3311,1636,967,1,1611775.6
63441,83,0,1,8,10,425,1,1,320,7934,470,1,4465177.5
110677,74,0,1,6,7,412,0,1,7195,3059,467,0,8986041.2
46906,62,0,0,5,3,422,0,1,4135,613,888,1,1931115.2
18904,57,0,0,2,9,424,1,0,4961,1343,561,0,832871.4
41322,38,0,0,8,6,401,1,0,5711,9268,172,1,4019219.1
73107,11,1,1,6,4,408,0,1,2500,2644,924,0,7811853.8
48371,84,1,0,6,10,410,0,0,239,1952,411,1,6369055
33079,70,1,1,10,3,413,1,1,7412,9673,921,0,753012.3
17634,79,0,0,2,10,404,1,1,1768,378,689,1,3772814.4
64408,81,0,1,1,10,408,1,0,4502,9901,397,1,3619052.8
94186,25,1,0,10,4,407,0,1,9439,6860,551,0,6753697.7
87449,12,1,1,8,10,404,0,0,7086,6192,392,0,7312103.4
85254,100,1,1,7,9,416,1,1,4856,2230,566,0,5721225.6
28642,58,0,0,1,8,409,0,1,8677,9675,991,0,1937569.9
41564,72,0,0,4,4,427,1,0,2256,1119,939,1,3247206.7
80988,60,0,1,5,2,406,0,1,9739,8150,440,1,5296085.6
9478,75,0,1,1,6,414,0,1,9920,5718,560,1,2905336.4
28772,100,1,1,8,10,407,0,0,3953,34,430,0,3610020.7
105241,1,1,0,9,6,402,0,0,5742,856,984,1,8151151.2
87289,40,1,0,4,5,421,1,1,8949,6510,851,1,6681155.1
69100,35,0,0,5,2,425,1,0,4684,6733,696,1,9098666.5
33652,18,0,1,9,5,402,1,0,6730,1184,865,0,4466312.2
31068,57,1,1,10,8,426,1,1,9397,5224,642,0,1024313.6
80333,95,0,0,4,9,419,0,0,4517,7002,298,0,9060592.9
104921,3,1,1,10,4,400,0,1,8852,5277,915,0,8587486
26627,21,0,1,4,2,404,1,1,9901,1846,796,1,3793089.4
73276,82,1,0,5,6,404,1,0,847,2929,166,1,5038042.4
28067,82,0,1,8,4,415,0,1,2574,9915,323,0,3753718.5
45371,26,0,1,7,7,410,0,0,2197,1052,655,1,3709665
94519,62,0,0,9,10,424,1,0,9152,1790,302,1,7641162.4
19545,1,1,0,2,4,423,1,1,6632,4399,291,1,3641586.3
29862,93,0,0,9,8,406,0,0,6048,6393,420,0,1148699.6
41865,74,0,0,1,7,403,0,0,91,2269,531,0,4493359.3
65094,11,0,0,1,5,413,1,1,1337,9731,588,0,7411597.3
35691,3,0,0,2,9,408,1,0,826,8916,696,0,4171071.8
88577,99,1,1,8,7,421,0,0,6049,3511,428,0,7097321.1
80410,44,1,0,10,1,400,1,1,2390,828,413,1,9037622
-7698,22,1,0,7,10,412,0,1,262,6820,529,0,989421.2
71513,7,1,0,9,6,424,1,1,4537,5629,103,1,8517206.4
666,17,1,1,9,1,405,1,1,8357,7306,521,1,997349.5
24723,23,0,0,1,5,401,1,1,1188,7958,107,1,2281031.1
-23249,83,1,1,3,6,418,0,0,5909,232,251,0,279807.8
40581,12,1,0,3,2,419,1,0,4448,3610,567,0,1312532.9
-7896,10,1,0,5,4,424,0,0,3945,945,468,1,670292.4
50057,54,0,0,6,3,421,0,1,6843,5761,127,0,5906126.1
26910,81,1,0,5,7,405,1,0,8101,2580,916,1,2316366.5
6333,56,0,0,3,4,422,0,0,6358,7861,304,1,2217451.2
34674,25,1,1,5,7,414,1,1,9834,7341,289,0,3252838.4
63702,38,1,0,5,2,423,0,0,285,3733,882,0,7219271.3
13850,28,0,1,9,9,403,0,1,9149,6110,167,0,3478934.3
124023,47,0,1,4,5,425,0,0,3111,6604,912,0,9411954.5
102329,9,0,0,7,4,424,0,0,8753,4889,400,1,7700879.4
58681,40,1,1,3,3,401,1,0,3012,7626,163,0,7949040.1
91698,43,1,0,8,2,421,1,0,8365,6653,179,1,9564517.1
102862,70,0,1,3,7,410,1,1,9528,6019,614,1,9312840
55485,78,0,1,7,10,425,0,1,8444,2540,426,0,4310516.5
-23042,46,0,0,9,10,411,1,0,8237,7085,900,0,172086.1
102294,66,0,1,5,6,407,1,1,9933,5348,839,1,9212309.7
39546,14,1,0,2,6,424,0,0,9968,6430,977,1,2907130.4
50898,10,0,1,5,5,410,0,1,127,7229,867,0,6198911
122063,58,0,1,3,5,402,1,1,9583,6348,984,1,9643438.2
73342,22,1,0,9,10,411,1,0,8118,1368,690,1,6448195.1
36222,39,1,1,2,5,427,0,0,399,1799,504,1,1097453.7
89631,41,0,1,10,10,424,0,1,5454,270,104,1,8887849.4
105064,12,1,0,5,8,412,0,1,4034,2877,787,1,9977000.2
42922,7,1,1,2,7,408,1,0,8905,6723,218,0,3842187.8
96156,97,0,0,10,10,412,0,0,4558,7617,672,0,9801176.2
30352,37,1,0,4,2,427,0,1,8866,9527,963,0,2042174.7
71068,95,0,1,2,5,401,0,0,6243,8232,961,1,5125181.1
-3892,99,0,1,2,3,408,1,1,2718,961,776,0,2271736.8
5062,18,1,1,10,4,409,1,1,3028,8500,190,0,2415923.9
21286,59,0,1,4,2,403,1,0,9794,4214,813,1,1198851.3
83922,68,0,0,4,6,420,0,0,5333,8925,186,1,7778582
45677,17,0,1,7,10,412,0,0,4200,5699,158,0,4597561.2
75071,87,0,1,3,5,421,0,0,6910,4984,536,1,5710088.1
56786,74,1,0,7,3,419,0,1,1456,7125,923,1,4221684.9
41846,11,1,0,7,2,408,1,1,3714,8402,878,1,4376638.8
48173,93,0,1,6,5,407,1,0,7588,3667,324,1,1862622.7
98563,6,0,0,3,5,401,1,1,2313,9058,809,1,7496261.1
61591,96,0,0,10,1,413,1,1,3201,5706,953,0,7132660.3
-1697,37,1,1,1,6,426,0,1,5625,8297,203,1,2677484.6
53665,74,0,1,4,4,431,0,1,10000,8795,711,1,4413732.1
47092,92,0,0,4,6,429,0,1,7618,1172,810,1,3953491.9
48598,73,1,1,10,2,417,0,0,6047,5764,466,0,3247575.7
60572,13,1,1,10,6,428,1,1,7180,184,878,1,3142338.8
61781,48,1,0,3,5,430,0,1,6114,2484,521,0,4364529
41952,87,0,1,2,4,404,1,1,7608,6094,267,1,2292005.4
-22761,2,0,0,7,1,407,1,0,9610,6846,918,0,436269.7
25815,44,0,0,7,5,424,0,0,8539,1227,747,1,565361.4
54743,53,0,1,1,10,415,1,1,5751,7522,969,1,5231126.5
53184,92,1,1,4,4,423,1,1,7067,4514,915,1,6409487.3
39451,2,1,1,5,4,404,1,0,8836,830,714,1,4209907.4
-599,100,1,1,2,9,403,1,0,2481,3336,908,1,2425111.3
69496,6,1,0,5,9,423,1,0,1902,9331,211,1,9166876.3
94827,85,1,0,8,8,421,0,0,4388,6604,693,1,6712487.1
-12110,76,1,0,9,8,427,1,0,3436,384,253,0,1577515.7
5430,16,1,0,4,10,419,1,0,8129,4394,501,0,2283953.9
90079,71,0,1,1,2,400,0,1,6172,463,271,0,9116972
54001,14,1,1,4,7,413,1,0,2863,2396,621,1,6373958.3
